date&ins
20181222&{'ins':'open_portfolio', 'portfolio':'wireless','code':'profit','cost':0,'num':0,'agent':'pingan'}
20190514&{'ins': 'sell_order', 'portfolio': 'anke', 'code': '300454', 'num': 200, 'price': 88.84, 'cost': 17768, 'agent': 'pingan', 'name': '深信服'}
20190514&{'ins': 'sell_order', 'portfolio': 'original', 'code': '300408', 'num': 900, 'price': 19.59, 'cost': 17523, 'agent': 'pingan', 'name': '三环集团'}
20190515&{'ins': 'buy_order', 'portfolio': 'redian', 'code': '300199', 'num': 1800, 'price': 11.45, 'cost': 20610, 'agent': 'pingan', 'name': '翰宇药业'}
20190515&{'ins': 'buy_order', 'portfolio': 'redian', 'code': '002132', 'num': 6000, 'price': 3.13, 'cost': 18780, 'agent': 'pingan', 'name': '恒星科技'}
20190515&{'ins': 'buy_order', 'portfolio': '5G', 'code': '002792', 'num': 600, 'price': 30.09, 'cost': 18054, 'agent': 'pingan', 'name': '通宇通讯'}
20190515&{'ins': 'buy_order', 'portfolio': 'anke', 'code': '300454', 'num': 200, 'price': 93.51, 'cost': 18702, 'agent': 'pingan', 'name': '深信服'}
20190515&{'ins': 'buy_order', 'portfolio': 'anke', 'code': '300579', 'num': 500, 'price': 37.96, 'cost': 18980, 'agent': 'pingan', 'name': '数字认证'}
20190515&{'ins': 'buy_order', 'portfolio': '5G', 'code': '300684', 'num': 600, 'price': 31.01, 'cost': 18606, 'agent': 'pingan', 'name': '中石科技'}
20190515&{'ins': 'buy_order', 'portfolio': '5G', 'code': '300322', 'num': 1500, 'price': 13.39, 'cost': 20085, 'agent': 'pingan', 'name': '硕贝德'}
20190515&{'ins': 'buy_order', 'portfolio': 'original', 'code': '300408', 'num': 1000, 'price': 19.63, 'cost': 19630, 'agent': 'pingan', 'name': '三环集团'}
20190516&{'ins': 'buy_order', 'portfolio': 'anke', 'code': '300369', 'num': 1600, 'price': 13.02, 'cost': 20832, 'agent': 'pingan', 'name': '绿盟科技'}
20190517&{'ins': 'sell_order', 'portfolio': 'redian', 'code': '300199', 'num': 1800, 'price': 11.69, 'cost': 21042, 'agent': 'pingan', 'name': '翰宇药业'}
20190517&{'ins': 'sell_order', 'portfolio': 'anke', 'code': '300454', 'num': 200, 'price': 97.0, 'cost': 19400, 'agent': 'pingan', 'name': '深信服'}
20190517&{'ins': 'sell_order', 'portfolio': 'anke', 'code': '300579', 'num': 500, 'price': 35.75, 'cost': 17873, 'agent': 'pingan', 'name': '数字认证'}
20190517&{'ins': 'sell_order', 'portfolio': '5G', 'code': '300684', 'num': 600, 'price': 28.95, 'cost': 17370, 'agent': 'pingan', 'name': '中石科技'}
20190520&{'ins': 'buy_order', 'portfolio': 'redian', 'code': '300199', 'num': 1800, 'price': 11.42, 'cost': 20556, 'agent': 'pingan', 'name': '翰宇药业'}
20190520&{'ins': 'sell_order', 'portfolio': 'anke', 'code': '300369', 'num': 1600, 'price': 13.2, 'cost': 21120, 'agent': 'pingan', 'name': '绿盟科技'}
20190522&{'ins': 'buy_order', 'portfolio': 'redian', 'code': '000821', 'num': 2200, 'price': 8.99, 'cost': 19778, 'agent': 'pingan', 'name': '京山轻机'}
20190522&{'ins': 'buy_order', 'portfolio': 'redian', 'code': '002482', 'num': 3700, 'price': 5.4, 'cost': 19980, 'agent': 'pingan', 'name': '广田集团'}
20190522&{'ins': 'sell_order', 'portfolio': 'redian', 'code': '300199', 'num': 1800, 'price': 11.46, 'cost': 20628, 'agent': 'pingan', 'name': '翰宇药业'}
20190523&{'ins': 'sell_order', 'portfolio': 'redian', 'code': '002132', 'num': 6000, 'price': 3.17, 'cost': 19020, 'agent': 'pingan', 'name': '恒星科技'}
20190523&{'ins': 'sell_order', 'portfolio': 'redian', 'code': '000821', 'num': 2200, 'price': 8.73, 'cost': 19206, 'agent': 'pingan', 'name': '京山轻机'}
20190523&{'ins': 'sell_order', 'portfolio': 'redian', 'code': '002482', 'num': 3700, 'price': 5.36, 'cost': 19832, 'agent': 'pingan', 'name': '广田集团'}
20190603&{'ins': 'sell_order', 'portfolio': '5G', 'code': '300322', 'num': 1500, 'price': 13.45, 'cost': 20175, 'agent': 'pingan', 'name': '硕贝德'}
20190603&{'ins': 'sell_order', 'portfolio': '5G', 'code': '002792', 'num': 600, 'price': 30.23, 'cost': 18138, 'agent': 'pingan', 'name': '通宇通讯'}
20190610&{'ins': 'buy_order', 'portfolio': 'anke', 'code': '300579', 'num': 1300, 'price': 21.79, 'cost': 28327, 'agent': 'pingan', 'name': '数字认证'}
20190610&{'ins': 'buy_order', 'portfolio': 'anke', 'code': '300369', 'num': 2400, 'price': 12.18, 'cost': 29232, 'agent': 'pingan', 'name': '绿盟科技'}
20190610&{'ins': 'buy_order', 'portfolio': 'anke', 'code': '300454', 'num': 300, 'price': 86.22, 'cost': 25866, 'agent': 'pingan', 'name': '深信服'}
20190610&{'ins': 'buy_order', 'portfolio': 'original', 'code': '300433', 'num': 4500, 'price': 6.7, 'cost': 30150, 'agent': 'pingan', 'name': '蓝思科技'}
20190610&{'ins': 'buy_order', 'portfolio': 'original', 'code': '002273', 'num': 2800, 'price': 10.95, 'cost': 30659, 'agent': 'pingan', 'name': '水晶光电'}
20190610&{'ins': 'buy_order', 'portfolio': 'growth', 'code': '300559', 'num': 1500, 'price': 20.05, 'cost': 30075, 'agent': 'pingan', 'name': '佳发教育'}
20190610&{'ins': 'buy_order', 'portfolio': 'growth', 'code': '300715', 'num': 1500, 'price': 20.05, 'cost': 30075, 'agent': 'pingan', 'name': '凯伦股份'}
20190610&{'ins': 'buy_order', 'portfolio': 'growth', 'code': '300035', 'num': 5500, 'price': 5.54, 'cost': 30470, 'agent': 'pingan', 'name': '中科电气'}
20190610&{'ins': 'buy_order', 'portfolio': 'ecar', 'code': '002812', 'num': 500, 'price': 54.0, 'cost': 27000, 'agent': 'pingan', 'name': '恩捷股份'}
20190610&{'ins': 'buy_order', 'portfolio': 'ecar', 'code': '002920', 'num': 1400, 'price': 21.95, 'cost': 30730, 'agent': 'pingan', 'name': '德赛西威'}
20190610&{'ins': 'buy_order', 'portfolio': 'soft', 'code': '300036', 'num': 2000, 'price': 15.57, 'cost': 31140, 'agent': 'pingan', 'name': '超图软件'}
20190610&{'ins': 'buy_order', 'portfolio': 'soft', 'code': '300253', 'num': 2400, 'price': 12.55, 'cost': 30120, 'agent': 'pingan', 'name': '卫宁健康'}
20190610&{'ins': 'buy_order', 'portfolio': 'ecar', 'code': '300228', 'num': 5300, 'price': 5.66, 'cost': 29998, 'agent': 'pingan', 'name': '富瑞特装'}
20190610&{'ins': 'buy_order', 'portfolio': '5G', 'code': '002792', 'num': 900, 'price': 31.9, 'cost': 28710, 'agent': 'pingan', 'name': '通宇通讯'}
20190610&{'ins': 'buy_order', 'portfolio': '5G', 'code': '300502', 'num': 1200, 'price': 24.3, 'cost': 29160, 'agent': 'pingan', 'name': '新易盛'}
20190610&{'ins': 'buy_order', 'portfolio': '5G', 'code': '300394', 'num': 1100, 'price': 27.34, 'cost': 30074, 'agent': 'pingan', 'name': '天孚通信'}
20190610&{'ins': 'buy_order', 'portfolio': '5G', 'code': '300308', 'num': 900, 'price': 32.95, 'cost': 29655, 'agent': 'pingan', 'name': '中际旭创'}
20190610&{'ins': 'buy_order', 'portfolio': '5G', 'code': '300134', 'num': 2200, 'price': 14.32, 'cost': 31504, 'agent': 'pingan', 'name': '大富科技'}
20190610&{'ins': 'buy_order', 'portfolio': '5G', 'code': '300570', 'num': 1400, 'price': 21.72, 'cost': 30408, 'agent': 'pingan', 'name': '太辰光'}
20190610&{'ins': 'buy_order', 'portfolio': '5G', 'code': '300136', 'num': 1300, 'price': 23.42, 'cost': 30446, 'agent': 'pingan', 'name': '信维通信'}
20190610&{'ins': 'buy_order', 'portfolio': '5G', 'code': '002463', 'num': 2600, 'price': 10.45, 'cost': 27169, 'agent': 'pingan', 'name': '沪电股份'}
20190610&{'ins': 'buy_order', 'portfolio': 'original', 'code': '300408', 'num': 1600, 'price': 18.05, 'cost': 28880, 'agent': 'pingan', 'name': '三环集团'}
20190610&{'ins': 'buy_order', 'portfolio': 'original', 'code': '002570', 'num': 5000, 'price': 5.92, 'cost': 29600, 'agent': 'pingan', 'name': '贝因美'}
20190610&{'ins': 'buy_order', 'portfolio': 'growth', 'code': '300487', 'num': 1000, 'price': 29.32, 'cost': 29320, 'agent': 'pingan', 'name': '蓝晓科技'}
20190611&{'ins': 'buy_order', 'portfolio': 'phone', 'code': '002859', 'num': 1100, 'price': 26.1, 'cost': 28710, 'agent': 'pingan', 'name': '洁美科技'}
20190611&{'ins': 'sell_order', 'portfolio': 'anke', 'code': '300579', 'num': 1300, 'price': 24.0, 'cost': 31200, 'agent': 'pingan', 'name': '数字认证'}
20190612&{'ins': 'sell_order', 'portfolio': 'original', 'code': '002570', 'num': 5000, 'price': 6.96, 'cost': 34800, 'agent': 'pingan', 'name': '贝因美'}
20190612&{'ins': 'buy_order', 'portfolio': 'anke', 'code': '300188', 'num': 1700, 'price': 17.05, 'cost': 28985, 'agent': 'pingan', 'name': '美亚柏科'}
20190612&{'ins': 'buy_order', 'portfolio': 'phone', 'code': '300461', 'num': 1300, 'price': 23.05, 'cost': 29965, 'agent': 'pingan', 'name': '田中精机'}
20190612&{'ins': 'buy_order', 'portfolio': 'ecar', 'code': '002341', 'num': 3800, 'price': 7.81, 'cost': 29678, 'agent': 'pingan', 'name': '新纶科技'}
20190612&{'ins': 'buy_order', 'portfolio': 'ecar', 'code': '002812', 'num': 400, 'price': 54.53, 'cost': 21812, 'agent': 'pingan', 'name': '恩捷股份'}
20190614&{'ins': 'sell_order', 'portfolio': 'ecar', 'code': '002341', 'num': 3800, 'price': 7.2, 'cost': 27360, 'agent': 'pingan', 'name': '新纶科技'}
20190614&{'ins': 'sell_order', 'portfolio': 'ecar', 'code': '300228', 'num': 5300, 'price': 6.02, 'cost': 31905, 'agent': 'pingan', 'name': '富瑞特装'}
20190614&{'ins': 'sell_order', 'portfolio': '5G', 'code': '300134', 'num': 2200, 'price': 15.4, 'cost': 33880, 'agent': 'pingan', 'name': '大富科技'}
20190614&{'ins': 'sell_order', 'portfolio': 'original', 'code': '002273', 'num': 2800, 'price': 11.22, 'cost': 31416, 'agent': 'pingan', 'name': '水晶光电'}
20190614&{'ins': 'sell_order', 'portfolio': '5G', 'code': '002463', 'num': 2600, 'price': 10.30, 'cost': 26780, 'agent': 'pingan', 'name': '沪电股份'}
20190614&{'ins': 'sell_order', 'portfolio': '5G', 'code': '002792', 'num': 900, 'price': 31.44, 'cost': 28296, 'agent': 'pingan', 'name': '通宇通讯'}
20190614&{'ins': 'sell_order', 'portfolio': 'ecar', 'code': '002812', 'num': 400, 'price': 53.0, 'cost': 21200, 'agent': 'pingan', 'name': '恩捷股份'}
20190614&{'ins': 'sell_order', 'portfolio': 'ecar', 'code': '002812', 'num': 500, 'price': 53.0, 'cost': 26500, 'agent': 'pingan', 'name': '恩捷股份'}
20190614&{'ins': 'sell_order', 'portfolio': 'phone', 'code': '002859', 'num': 1100, 'price': 25.96, 'cost': 28561, 'agent': 'pingan', 'name': '洁美科技'}
20190614&{'ins': 'sell_order', 'portfolio': 'ecar', 'code': '002920', 'num': 1400, 'price': 23.14, 'cost': 32396, 'agent': 'pingan', 'name': '德赛西威'}
20190614&{'ins': 'sell_order', 'portfolio': 'growth', 'code': '300035', 'num': 5500, 'price': 5.73, 'cost': 31515, 'agent': 'pingan', 'name': '中科电气'}
20190614&{'ins': 'sell_order', 'portfolio': 'soft', 'code': '300036', 'num': 2000, 'price': 15.46, 'cost': 30920, 'agent': 'pingan', 'name': '超图软件'}
20190614&{'ins': 'sell_order', 'portfolio': '5G', 'code': '300136', 'num': 1300, 'price': 23.51, 'cost': 30563, 'agent': 'pingan', 'name': '信维通信'}
20190614&{'ins': 'sell_order', 'portfolio': 'anke', 'code': '300188', 'num': 1700, 'price': 17.05, 'cost': 28985, 'agent': 'pingan', 'name': '美亚柏科'}
20190614&{'ins': 'sell_order', 'portfolio': 'soft', 'code': '300253', 'num': 2400, 'price': 12.82, 'cost': 30768, 'agent': 'pingan', 'name': '卫宁健康'}
20190614&{'ins': 'sell_order', 'portfolio': '5G', 'code': '300308', 'num': 900, 'price': 32.15, 'cost': 28937, 'agent': 'pingan', 'name': '中际旭创'}
20190614&{'ins': 'sell_order', 'portfolio': 'anke', 'code': '300369', 'num': 2400, 'price': 12.60, 'cost': 30240, 'agent': 'pingan', 'name': '绿盟科技'}
20190614&{'ins': 'sell_order', 'portfolio': '5G', 'code': '300394', 'num': 1100, 'price': 26.23, 'cost': 28859, 'agent': 'pingan', 'name': '天孚通信'}
20190614&{'ins': 'sell_order', 'portfolio': 'original', 'code': '300433', 'num': 4500, 'price': 6.85, 'cost': 30825, 'agent': 'pingan', 'name': '蓝思科技'}
20190614&{'ins': 'sell_order', 'portfolio': 'growth', 'code': '300715', 'num': 1500, 'price': 20.42, 'cost': 30629, 'agent': 'pingan', 'name': '凯伦股份'}
20190614&{'ins': 'sell_order', 'portfolio': '5G', 'code': '300570', 'num': 1400, 'price': 21.66, 'cost': 30328, 'agent': 'pingan', 'name': '太辰光'}
20190614&{'ins': 'sell_order', 'portfolio': 'growth', 'code': '300559', 'num': 1500, 'price': 20.65, 'cost': 30975, 'agent': 'pingan', 'name': '佳发教育'}
20190614&{'ins': 'sell_order', 'portfolio': '5G', 'code': '300502', 'num': 1200, 'price': 23.28, 'cost': 27936, 'agent': 'pingan', 'name': '新易盛'}
20190614&{'ins': 'sell_order', 'portfolio': 'growth', 'code': '300487', 'num': 1000, 'price': 29.53, 'cost': 29532, 'agent': 'pingan', 'name': '蓝晓科技'}
20190614&{'ins': 'sell_order', 'portfolio': 'phone', 'code': '300461', 'num': 1300, 'price': 22.89, 'cost': 29760, 'agent': 'pingan', 'name': '田中精机'}
20190614&{'ins': 'sell_order', 'portfolio': 'anke', 'code': '300454', 'num': 300, 'price': 89.42, 'cost': 26827, 'agent': 'pingan', 'name': '深信服'}
20190614&{'ins': 'sell_order', 'portfolio': 'original', 'code': '300408', 'num': 1600, 'price': 17.75, 'cost': 28400, 'agent': 'pingan', 'name': '三环集团'}
20190619&{'ins': 'buy_order', 'portfolio': '5G', 'code': '002920', 'num': 1400, 'price': 23.0, 'cost': 32200, 'agent': 'pingan', 'name': '德赛西威'}
20190619&{'ins': 'buy_order', 'portfolio': '5G', 'code': '300036', 'num': 2000, 'price': 15.09, 'cost': 30180, 'agent': 'pingan', 'name': '超图软件'}
20190619&{'ins': 'buy_order', 'portfolio': '5G', 'code': '002812', 'num': 500, 'price': 51.3, 'cost': 25650, 'agent': 'pingan', 'name': '恩捷股份'}
20190619&{'ins': 'buy_order', 'portfolio': 'original', 'code': '300433', 'num': 4500, 'price': 6.85, 'cost': 30825, 'agent': 'pingan', 'name': '蓝思科技'}
20190619&{'ins': 'buy_order', 'portfolio': '5G', 'code': '300394', 'num': 1100, 'price': 26.3, 'cost': 28930, 'agent': 'pingan', 'name': '天孚通信'}
