date&ins
20190514&"{'ins': 'sell_order', 'portfolio': '5G', 'code': '300408', 'num': 900, 'price': 19.59, 'cost': 17523, 'agent': 'pingan', 'name': '三环集团'}"
20190514&"{'ins': 'sell_order', 'portfolio': '5G', 'code': '300684', 'num': 600, 'price': 30.65, 'cost': 18390, 'agent': 'pingan', 'name': '中石科技'}"
20190514&"{'ins': 'sell_order', 'portfolio': '5G', 'code': '300322', 'num': 1500, 'price': 12.82, 'cost': 19230, 'agent': 'pingan', 'name': '硕贝德'}"
20190514&"{'ins': 'sell_order', 'portfolio': 'anke', 'code': '300454', 'num': 200, 'price': 88.84, 'cost': 17768, 'agent': 'pingan', 'name': '深信服'}"
20190514&"{'ins': 'sell_order', 'portfolio': 'original', 'code': '300408', 'num': 900, 'price': 19.59, 'cost': 17523, 'agent': 'pingan', 'name': '三环集团'}"
20190515&"{'ins': 'buy_order', 'portfolio': 'redian', 'code': '300199', 'num': 1800, 'price': 11.45, 'cost': 20610, 'agent': 'pingan', 'name': '翰宇药业'}"
20190515&"{'ins': 'buy_order', 'portfolio': 'redian', 'code': '002132', 'num': 6000, 'price': 3.13, 'cost': 18780, 'agent': 'pingan', 'name': '恒星科技'}"
20190515&"{'ins': 'buy_order', 'portfolio': '5G', 'code': '002792', 'num': 600, 'price': 30.09, 'cost': 18054, 'agent': 'pingan', 'name': '通宇通讯'}"
20190515&"{'ins': 'buy_order', 'portfolio': 'anke', 'code': '300454', 'num': 200, 'price': 93.51, 'cost': 18702, 'agent': 'pingan', 'name': '深信服'}"
20190515&"{'ins': 'buy_order', 'portfolio': 'anke', 'code': '300579', 'num': 500, 'price': 37.96, 'cost': 18980, 'agent': 'pingan', 'name': '数字认证'}"
20190515&"{'ins': 'buy_order', 'portfolio': '5G', 'code': '300684', 'num': 600, 'price': 31.01, 'cost': 18606, 'agent': 'pingan', 'name': '中石科技'}"
20190515&"{'ins': 'buy_order', 'portfolio': '5G', 'code': '300322', 'num': 1500, 'price': 13.39, 'cost': 20085, 'agent': 'pingan', 'name': '硕贝德'}"
20190515&"{'ins': 'buy_order', 'portfolio': 'original', 'code': '300408', 'num': 1000, 'price': 19.63, 'cost': 19630, 'agent': 'pingan', 'name': '三环集团'}"
20190516&"{'ins': 'buy_order', 'portfolio': 'anke', 'code': '300369', 'num': 1600, 'price': 13.02, 'cost': 20832, 'agent': 'pingan', 'name': '绿盟科技'}"
20190517&"{'ins': 'sell_order', 'portfolio': 'redian', 'code': '300199', 'num': 1800, 'price': 11.69, 'cost': 21042, 'agent': 'pingan', 'name': '翰宇药业'}"
20190517&"{'ins': 'sell_order', 'portfolio': 'anke', 'code': '300454', 'num': 200, 'price': 97.0, 'cost': 19400, 'agent': 'pingan', 'name': '深信服'}"
20190517&"{'ins': 'sell_order', 'portfolio': 'anke', 'code': '300579', 'num': 500, 'price': 35.75, 'cost': 17873, 'agent': 'pingan', 'name': '数字认证'}"
20190517&"{'ins': 'sell_order', 'portfolio': '5G', 'code': '300684', 'num': 600, 'price': 28.95, 'cost': 17370, 'agent': 'pingan', 'name': '中石科技'}"
20190520&"{'ins': 'buy_order', 'portfolio': 'redian', 'code': '300199', 'num': 1800, 'price': 11.42, 'cost': 20556, 'agent': 'pingan', 'name': '翰宇药业'}"
20190520&"{'ins': 'sell_order', 'portfolio': 'anke', 'code': '300369', 'num': 1600, 'price': 13.2, 'cost': 21120, 'agent': 'pingan', 'name': '绿盟科技'}"
20190522&"{'ins': 'buy_order', 'portfolio': 'redian', 'code': '000821', 'num': 2200, 'price': 8.99, 'cost': 19778, 'agent': 'pingan', 'name': '京山轻机'}"
20190522&"{'ins': 'buy_order', 'portfolio': 'redian', 'code': '002482', 'num': 3700, 'price': 5.4, 'cost': 19980, 'agent': 'pingan', 'name': '广田集团'}"
20190522&"{'ins': 'sell_order', 'portfolio': 'redian', 'code': '300199', 'num': 1800, 'price': 11.46, 'cost': 20628, 'agent': 'pingan', 'name': '翰宇药业'}"
20190523&"{'ins': 'sell_order', 'portfolio': 'redian', 'code': '002132', 'num': 6000, 'price': 3.17, 'cost': 19020, 'agent': 'pingan', 'name': '恒星科技'}"
20190523&"{'ins': 'sell_order', 'portfolio': 'redian', 'code': '000821', 'num': 2200, 'price': 8.73, 'cost': 19206, 'agent': 'pingan', 'name': '京山轻机'}"
20190523&"{'ins': 'sell_order', 'portfolio': 'redian', 'code': '002482', 'num': 3700, 'price': 5.36, 'cost': 19832, 'agent': 'pingan', 'name': '广田集团'}"
