bollWindow,bollDev,slMultiplier,totalReturn,maxDdPercent,totalTradeCount,sharpeRatio
10,2.3,0.5,1.746176000000066,-1.0409588265027847,38,7.757789143002332
10,2.3,1.0,0.7477240000000718,-1.570120356445652,37,3.0078210939135097
10,2.3,1.5,3.6470120000000605,-1.5577382361912595,31,10.00761473856687
10,2.3,2.0,2.157012000000047,-1.9051314130102173,31,5.703814532656814
10,2.3,2.5,1.2070120000000628,-2.29760948396885,31,3.139109331800292
10,2.4,0.5,1.8354640000000533,-0.9245408322626081,32,8.273960817728016
10,2.4,1.0,0.912012000000062,-1.452924228456507,31,3.707244223978883
10,2.4,1.5,3.9063000000000514,-1.4421368887280828,25,10.79830846841439
10,2.4,2.0,2.5313000000000363,-1.787221060687239,25,6.749381378901581
10,2.4,2.5,1.581300000000052,-2.179057819504272,25,4.1275971454703395
10,2.5,0.5,1.2397520000000384,-0.8719586964431212,26,6.888329430062646
10,2.5,1.0,0.9163000000000476,-1.093698028616903,25,4.5893364906286225
10,2.5,1.5,2.8505880000000428,-1.1116337381193135,19,9.731480737023983
10,2.5,2.0,1.7905880000000263,-1.4761592718789855,19,5.835867973408821
10,2.5,2.5,1.3505880000000303,-1.9038692314903338,19,4.350878533771465
10,2.6,0.5,0.5183280000000234,-0.827000302775455,14,3.448730681155932
10,2.6,1.0,0.3798760000000234,-1.0488860748385886,13,2.3987110060305334
10,2.6,1.5,1.692972000000026,-1.117503828066182,11,7.00550783181329
10,2.6,2.0,1.3379720000000095,-1.4638336277689277,11,5.41191783662593
10,2.6,2.5,1.002972000000013,-1.790651889460251,11,3.9851715020963594
