symbol,cciWindow,slMultiplier,hard_stop_ratio,totalReturn,maxDdPercent,totalTradeCount,sharpeRatio
CF,100,1.0,0.005,0.6393960000000476,-0.8579450896493128,23,3.6249140525773815
CF,100,1.0,0.01,1.8174920000000316,-0.8579450896493128,21,7.551702164843443
CF,100,1.0,0.015,1.5774920000000359,-0.8579450896493128,21,6.49818787346402
CF,100,1.0,0.02,1.5774920000000359,-0.8579450896493128,21,6.49818787346402
CF,80,1.0,0.005,0.39249200000004425,-0.8584232799286184,21,2.2875338092832163
CF,80,1.0,0.01,1.630588000000044,-0.7981713047338014,19,6.866877298634344
CF,80,1.0,0.015,1.390588000000026,-0.7981713047338014,19,5.80600637947068
CF,80,1.0,0.02,1.390588000000026,-0.7981713047338014,19,5.80600637947068
CF,60,1.0,0.005,-0.7948919999999471,-1.129891999999946,29,-4.296013066011489
CF,60,1.0,0.01,0.38320400000004806,-1.035336350776051,27,1.608519697483712
CF,60,1.0,0.015,0.1432040000000523,-1.272737106873719,27,0.6322168439405584
CF,60,1.0,0.02,-0.08179599999994513,-1.4953003157152827,27,-0.26368222721843343
CF,100,1.5,0.005,0.6743960000000326,-0.8579450896493128,23,3.3613866111882356
CF,100,1.5,0.01,2.9174920000000437,-0.8579450896493128,21,9.961214743867291
CF,100,1.5,0.015,2.3774920000000366,-1.0465194263007576,21,7.994368748718712
CF,100,1.5,0.02,3.472492000000038,-0.8484091883415602,21,10.92955139238133
CF,80,1.5,0.005,0.5074920000000427,-0.9381216598159672,21,2.579610368900529
CF,80,1.5,0.01,2.790588000000027,-0.7981713047338014,19,9.55268632259207
CF,80,1.5,0.015,2.5505880000000314,-0.7981713047338014,19,8.681388185938962
CF,80,1.5,0.02,3.645588000000033,-0.7851246799462461,19,11.598676569852097
CF,60,1.5,0.005,-0.6248919999999436,-1.0544119999999646,29,-2.957195662223512
CF,60,1.5,0.01,1.6182040000000564,-1.002339156273363,27,5.480692548001885
CF,60,1.5,0.015,1.2932040000000589,-1.2379518625057389,27,4.363488887018512
CF,60,1.5,0.02,0.8732040000000607,-1.5139343913175987,27,2.9310977940768606
CF,100,2.0,0.005,-0.20060399999995981,-0.9959986232901561,23,-0.8736463128494603
CF,100,2.0,0.01,1.1174920000000421,-1.6044080855121985,21,3.534546792012871
CF,100,2.0,0.015,0.577492000000035,-1.9032770100897565,21,1.8396519436777385
CF,100,2.0,0.02,2.2224920000000425,-1.4675420577316696,21,6.3690561325394315
CF,80,2.0,0.005,-0.3525079999999625,-1.1124618658195424,21,-1.609384020432822
CF,80,2.0,0.01,1.0005880000000245,-1.601323758210562,19,3.194195752898213
CF,80,2.0,0.015,0.665588000000028,-1.601323758210562,19,2.1377882971786337
CF,80,2.0,0.02,2.3105880000000356,-1.4675420577316696,19,6.698887536599238
CF,60,2.0,0.005,0.5301080000000624,-1.4383153746224866,29,2.1609551171755697
CF,60,2.0,0.01,2.538204000000044,-1.2946033482833978,27,7.726883246759946
CF,60,2.0,0.015,2.2132040000000464,-1.5276436340520057,27,6.710255827749784
CF,60,2.0,0.02,1.803204000000047,-1.8005455290613988,27,5.397974717138425
