balance,return,highLevel,drawdown,ddPercent,date,netPnl
1000000.0,0.0,1029679.7200000002,0.0,0.0,2019-02-20 15:00:00,0.0
1000000.0,0.0,1029679.7200000002,0.0,0.0,2019-02-21 15:00:00,0.0
1000000.0,0.0,1029679.7200000002,0.0,0.0,2019-02-22 15:00:00,0.0
1000000.0,0.0,1029679.7200000002,0.0,0.0,2019-02-25 15:00:00,0.0
1000000.0,0.0,1029679.7200000002,0.0,0.0,2019-02-26 15:00:00,0.0
1000000.0,0.0,1029679.7200000002,0.0,0.0,2019-02-27 15:00:00,0.0
1000000.0,0.0,1029679.7200000002,0.0,0.0,2019-02-28 15:00:00,0.0
1000000.0,0.0,1029679.7200000002,0.0,0.0,2019-03-01 15:00:00,0.0
1000000.0,0.0,1029679.7200000002,0.0,0.0,2019-03-04 15:00:00,0.0
1000000.0,0.0,1029679.7200000002,0.0,0.0,2019-03-05 15:00:00,0.0
1000000.0,0.0,1029679.7200000002,0.0,0.0,2019-03-06 15:00:00,0.0
1000000.0,0.0,1029679.7200000002,0.0,0.0,2019-03-07 15:00:00,0.0
1000000.0,0.0,1029679.7200000002,0.0,0.0,2019-03-08 15:00:00,0.0
1000000.0,0.0,1029679.7200000002,0.0,0.0,2019-03-11 15:00:00,0.0
1000000.0,0.0,1029679.7200000002,0.0,0.0,2019-03-12 15:00:00,0.0
1000000.0,0.0,1029679.7200000002,0.0,0.0,2019-03-13 15:00:00,0.0
1000000.0,0.0,1029679.7200000002,0.0,0.0,2019-03-14 15:00:00,0.0
1000000.0,0.0,1029679.7200000002,0.0,0.0,2019-03-15 15:00:00,0.0
1000000.0,0.0,1029679.7200000002,0.0,0.0,2019-03-18 15:00:00,0.0
1000000.0,0.0,1029679.7200000002,0.0,0.0,2019-03-19 15:00:00,0.0
1000000.0,0.0,1029679.7200000002,0.0,0.0,2019-03-20 15:00:00,0.0
1000000.0,0.0,1029679.7200000002,0.0,0.0,2019-03-21 15:00:00,0.0
1000000.0,0.0,1029679.7200000002,0.0,0.0,2019-03-22 15:00:00,0.0
1000000.0,0.0,1029679.7200000002,0.0,0.0,2019-03-25 15:00:00,0.0
1000000.0,0.0,1029679.7200000002,0.0,0.0,2019-03-26 15:00:00,0.0
1000000.0,0.0,1029679.7200000002,0.0,0.0,2019-03-27 15:00:00,0.0
999934.52,-6.547999999995113e-05,1029679.7200000002,-65.47999999998137,-0.006547999999998137,2019-03-28 15:00:00,-65.48
999134.52,-0.0008000523874303056,1029679.7200000002,-865.4799999999814,-0.08654799999999814,2019-03-29 15:00:00,-800.0
998469.04,-0.0006660564585436735,1029679.7200000002,-1530.9599999999627,-0.15309599999999626,2019-04-01 15:00:00,-665.48
998469.04,0.0,1029679.7200000002,-1530.9599999999627,-0.15309599999999626,2019-04-02 15:00:00,0.0
998469.04,0.0,1029679.7200000002,-1530.9599999999627,-0.15309599999999626,2019-04-03 15:00:00,0.0
998469.04,0.0,1029679.7200000002,-1530.9599999999627,-0.15309599999999626,2019-04-08 15:00:00,0.0
998403.56,-6.558040097059958e-05,1029679.7200000002,-1596.4399999999441,-0.1596439999999944,2019-04-09 15:00:00,-65.48
998903.56,0.000500799496347959,1029679.7200000002,-1096.4399999999441,-0.1096439999999944,2019-04-10 15:00:00,500.0
998853.56,-5.00548821750213e-05,1029679.7200000002,-1146.4399999999441,-0.11464399999999442,2019-04-11 15:00:00,-50.0
1000553.56,0.0017019511849163393,1029679.7200000002,0.0,0.0,2019-04-12 15:00:00,1700.0
998288.0800000001,-0.002264226614715148,1029679.7200000002,-2265.4799999999814,-0.22642266147151396,2019-04-15 15:00:00,-2265.48
998288.0800000001,0.0,1029679.7200000002,-2265.4799999999814,-0.22642266147151396,2019-04-16 15:00:00,0.0
998288.0800000001,0.0,1029679.7200000002,-2265.4799999999814,-0.22642266147151396,2019-04-17 15:00:00,0.0
998288.0800000001,0.0,1029679.7200000002,-2265.4799999999814,-0.22642266147151396,2019-04-18 15:00:00,0.0
998288.0800000001,0.0,1029679.7200000002,-2265.4799999999814,-0.22642266147151396,2019-04-19 15:00:00,0.0
998288.0800000001,0.0,1029679.7200000002,-2265.4799999999814,-0.22642266147151396,2019-04-22 15:00:00,0.0
998288.0800000001,0.0,1029679.7200000002,-2265.4799999999814,-0.22642266147151396,2019-04-23 15:00:00,0.0
998288.0800000001,0.0,1029679.7200000002,-2265.4799999999814,-0.22642266147151396,2019-04-24 15:00:00,0.0
998288.0800000001,0.0,1029679.7200000002,-2265.4799999999814,-0.22642266147151396,2019-04-25 15:00:00,0.0
998288.0800000001,0.0,1029679.7200000002,-2265.4799999999814,-0.22642266147151396,2019-04-26 15:00:00,0.0
998288.0800000001,0.0,1029679.7200000002,-2265.4799999999814,-0.22642266147151396,2019-04-29 15:00:00,0.0
998288.0800000001,0.0,1029679.7200000002,-2265.4799999999814,-0.22642266147151396,2019-05-06 15:00:00,0.0
998288.0800000001,0.0,1029679.7200000002,-2265.4799999999814,-0.22642266147151396,2019-05-07 15:00:00,0.0
998222.6000000001,-6.559228875091527e-05,1029679.7200000002,-2330.9599999999627,-0.23296703876601693,2019-05-08 15:00:00,-65.48
997522.6000000001,-0.0007012463953430803,1029679.7200000002,-3030.9599999999627,-0.3029283110041568,2019-05-09 15:00:00,-700.0
1004122.6000000001,0.006616391448173609,1029679.7200000002,0.0,0.0,2019-05-10 15:00:00,6600.0
1011822.6000000001,0.007668386310595965,1029679.7200000002,0.0,0.0,2019-05-13 15:00:00,7700.0
1009722.6000000001,-0.0020754626354462236,1029679.7200000002,-2100.0,-0.20754626354461736,2019-05-14 15:00:00,-2100.0
1006822.6000000001,-0.0028720759543264807,1029679.7200000002,-5000.0,-0.4941577703443272,2019-05-15 15:00:00,-2900.0
1008772.6000000001,0.0019367860832681938,1029679.7200000002,-3050.0,-0.30143623991003954,2019-05-16 15:00:00,1950.0
1010772.6000000001,0.001982607378511192,1029679.7200000002,-1050.0,-0.10377313177230868,2019-05-17 15:00:00,2000.0
1010372.6000000001,-0.00039573688483440783,1029679.7200000002,-1450.0,-0.14330575339985488,2019-05-20 15:00:00,-400.0
1015422.6000000001,0.004998156125769926,1029679.7200000002,0.0,0.0,2019-05-21 15:00:00,5050.0
1016372.6000000001,0.0009355710617431345,1029679.7200000002,0.0,0.0,2019-05-22 15:00:00,950.0
1015222.6000000001,-0.0011314748154367393,1029679.7200000002,-1150.0,-0.11314748154367797,2019-05-23 15:00:00,-1150.0
1014822.6000000001,-0.00039400226117902726,1029679.7200000002,-1550.0,-0.15250312729800072,2019-05-24 15:00:00,-400.0
1013672.6000000001,-0.0011332029854281833,1029679.7200000002,-2700.0,-0.26565060884167874,2019-05-27 15:00:00,-1150.0
1013422.6000000001,-0.00024662795462759846,1029679.7200000002,-2950.0,-0.29024788743813046,2019-05-28 15:00:00,-250.0
1015572.6000000001,0.0021215236368321566,1029679.7200000002,-800.0,-0.07871129150864555,2019-05-29 15:00:00,2150.0
1015122.6000000001,-0.000443099784299017,1029679.7200000002,-1250.0,-0.12298639298225866,2019-05-30 15:00:00,-450.0
1020272.6000000001,0.005073278833512385,1029679.7200000002,0.0,0.0,2019-05-31 15:00:00,5150.0
1018022.6000000001,-0.0022052929775826513,1029679.7200000002,-2250.0,-0.22052929775826577,2019-06-03 15:00:00,-2250.0
1018472.6000000001,0.0004420334086885358,1029679.7200000002,-1800.0,-0.1764234382066126,2019-06-04 15:00:00,450.0
1020522.6000000001,0.002012818017882889,1029679.7200000002,0.0,0.0,2019-06-05 15:00:00,2050.0
1017407.1200000001,-0.003052828031441912,1029679.7200000002,-3115.4799999999814,-0.3052828031441911,2019-06-10 15:00:00,-3115.48
1017407.1200000001,0.0,1029679.7200000002,-3115.4799999999814,-0.3052828031441911,2019-06-11 15:00:00,0.0
1017407.1200000001,0.0,1029679.7200000002,-3115.4799999999814,-0.3052828031441911,2019-06-12 15:00:00,0.0
1017407.1200000001,0.0,1029679.7200000002,-3115.4799999999814,-0.3052828031441911,2019-06-13 15:00:00,0.0
1017407.1200000001,0.0,1029679.7200000002,-3115.4799999999814,-0.3052828031441911,2019-06-14 15:00:00,0.0
1017407.1200000001,0.0,1029679.7200000002,-3115.4799999999814,-0.3052828031441911,2019-06-17 15:00:00,0.0
1017407.1200000001,0.0,1029679.7200000002,-3115.4799999999814,-0.3052828031441911,2019-06-18 15:00:00,0.0
1017407.1200000001,0.0,1029679.7200000002,-3115.4799999999814,-0.3052828031441911,2019-06-19 15:00:00,0.0
1017407.1200000001,0.0,1029679.7200000002,-3115.4799999999814,-0.3052828031441911,2019-06-20 15:00:00,0.0
1017407.1200000001,0.0,1029679.7200000002,-3115.4799999999814,-0.3052828031441911,2019-06-21 15:00:00,0.0
1017407.1200000001,0.0,1029679.7200000002,-3115.4799999999814,-0.3052828031441911,2019-06-24 15:00:00,0.0
1017407.1200000001,0.0,1029679.7200000002,-3115.4799999999814,-0.3052828031441911,2019-06-25 15:00:00,0.0
1017407.1200000001,0.0,1029679.7200000002,-3115.4799999999814,-0.3052828031441911,2019-06-26 15:00:00,0.0
1017407.1200000001,0.0,1029679.7200000002,-3115.4799999999814,-0.3052828031441911,2019-06-27 15:00:00,0.0
1017407.1200000001,0.0,1029679.7200000002,-3115.4799999999814,-0.3052828031441911,2019-06-28 15:00:00,0.0
1017407.1200000001,0.0,1029679.7200000002,-3115.4799999999814,-0.3052828031441911,2019-07-01 15:00:00,0.0
1017407.1200000001,0.0,1029679.7200000002,-3115.4799999999814,-0.3052828031441911,2019-07-02 15:00:00,0.0
1017407.1200000001,0.0,1029679.7200000002,-3115.4799999999814,-0.3052828031441911,2019-07-03 15:00:00,0.0
1017407.1200000001,0.0,1029679.7200000002,-3115.4799999999814,-0.3052828031441911,2019-07-04 15:00:00,0.0
1017407.1200000001,0.0,1029679.7200000002,-3115.4799999999814,-0.3052828031441911,2019-07-05 15:00:00,0.0
1017341.6400000001,-6.435968327012098e-05,1029679.7200000002,-3180.9599999999627,-0.31169912356668655,2019-07-08 15:00:00,-65.48
1018091.6400000001,0.0007372154746363435,1029679.7200000002,-2430.9599999999627,-0.23820736552036798,2019-07-09 15:00:00,750.0
1017991.6400000001,-9.822298511363847e-05,1029679.7200000002,-2530.9599999999627,-0.24800626659321046,2019-07-10 15:00:00,-100.0
1018641.6400000001,0.0006385121198049237,1029679.7200000002,-1880.9599999999627,-0.1843134096197343,2019-07-11 15:00:00,650.0
1018741.6400000001,9.816995111244786e-05,1029679.7200000002,-1780.9599999999627,-0.17451450854689182,2019-07-12 15:00:00,100.0
1018741.6400000001,0.0,1029679.7200000002,-1780.9599999999627,-0.17451450854689182,2019-07-15 15:00:00,0.0
1018941.6400000001,0.00019632062943841788,1029679.7200000002,-1580.9599999999627,-0.15491670640120686,2019-07-16 15:00:00,200.0
1019191.6400000001,0.0002453526190175914,1029679.7200000002,-1330.9599999999627,-0.13041945371910066,2019-07-17 15:00:00,250.0
1019841.6400000001,0.0006377603332774484,1029679.7200000002,-680.9599999999627,-0.0667265967456245,2019-07-18 15:00:00,650.0
1017176.1600000001,-0.002613621463818605,1029679.7200000002,-3346.439999999944,-0.3279143450620245,2019-07-19 15:00:00,-2665.48
1017176.1600000001,0.0,1029679.7200000002,-3346.439999999944,-0.3279143450620245,2019-07-22 15:00:00,0.0
1017176.1600000001,0.0,1029679.7200000002,-3346.439999999944,-0.3279143450620245,2019-07-23 15:00:00,0.0
1017176.1600000001,0.0,1029679.7200000002,-3346.439999999944,-0.3279143450620245,2019-07-24 15:00:00,0.0
1017176.1600000001,0.0,1029679.7200000002,-3346.439999999944,-0.3279143450620245,2019-07-25 15:00:00,0.0
1017176.1600000001,0.0,1029679.7200000002,-3346.439999999944,-0.3279143450620245,2019-07-26 15:00:00,0.0
1017176.1600000001,0.0,1029679.7200000002,-3346.439999999944,-0.3279143450620245,2019-07-29 15:00:00,0.0
1017176.1600000001,0.0,1029679.7200000002,-3346.439999999944,-0.3279143450620245,2019-07-30 15:00:00,0.0
1017176.1600000001,0.0,1029679.7200000002,-3346.439999999944,-0.3279143450620245,2019-07-31 15:00:00,0.0
1017110.6800000002,-6.437429677863538e-05,1029679.7200000002,-3411.9199999999255,-0.3343306654845199,2019-08-01 15:00:00,-65.48
1022010.6800000002,0.0048175681332929265,1029679.7200000002,0.0,0.0,2019-08-02 15:00:00,4900.0
1021510.6800000002,-0.000489231678087787,1029679.7200000002,-500.0,-0.04892316780877475,2019-08-05 15:00:00,-500.0
1022210.6800000002,0.0006852596000268552,1029679.7200000002,0.0,0.0,2019-08-06 15:00:00,700.0
1022260.6800000002,4.891359577663401e-05,1029679.7200000002,0.0,0.0,2019-08-07 15:00:00,50.0
1022710.6800000002,0.00044020083018359024,1029679.7200000002,0.0,0.0,2019-08-08 15:00:00,450.0
1022060.6800000002,-0.0006355658669762176,1029679.7200000002,-650.0,-0.06355658669761813,2019-08-09 15:00:00,-650.0
1022660.6800000002,0.0005870492933941485,1029679.7200000002,-50.0,-0.004888968207509087,2019-08-12 15:00:00,600.0
1020710.6800000002,-0.001906790823325677,1029679.7200000002,-2000.0,-0.19555872830036347,2019-08-13 15:00:00,-1950.0
1021610.6800000002,0.0008817385941333189,1029679.7200000002,-1100.0,-0.10755730056519991,2019-08-14 15:00:00,900.0
1021510.6800000002,-9.788464623339266e-05,1029679.7200000002,-1200.0,-0.11733523698021807,2019-08-15 15:00:00,-100.0
1021310.6800000002,-0.00019578845715051418,1029679.7200000002,-1400.0,-0.13689110981025443,2019-08-16 15:00:00,-200.0
1021510.6800000002,0.00019582679777707668,1029679.7200000002,-1200.0,-0.11733523698021807,2019-08-19 15:00:00,200.0
1023060.6800000002,0.0015173605429166237,1029679.7200000002,0.0,0.0,2019-08-20 15:00:00,1550.0
1021410.6800000002,-0.0016128075609357362,1029679.7200000002,-1650.0,-0.16128075609356815,2019-08-21 15:00:00,-1650.0
1022610.6800000002,0.0011748457535218915,1029679.7200000002,-450.0,-0.04398566075279131,2019-08-22 15:00:00,1200.0
1027260.6800000002,0.0045471850538467695,1029679.7200000002,0.0,0.0,2019-08-23 15:00:00,4650.0
1026260.6800000002,-0.0009734627436533971,1029679.7200000002,-1000.0,-0.0973462743653344,2019-08-26 15:00:00,-1000.0
1024910.6800000002,-0.0013154552506093875,1029679.7200000002,-2350.0,-0.22876374475853584,2019-08-27 15:00:00,-1350.0
1025760.6800000002,0.000829340562633174,1029679.7200000002,-1500.0,-0.14601941154800158,2019-08-28 15:00:00,850.0
1024710.6800000002,-0.0010236305801856194,1029679.7200000002,-2550.0,-0.24823299963160272,2019-08-29 15:00:00,-1050.0
1025560.6800000002,0.0008295024308715426,1029679.7200000002,-1700.0,-0.1654886664210685,2019-08-30 15:00:00,850.0
1024710.6800000002,-0.0008288149268749212,1029679.7200000002,-2550.0,-0.24823299963160272,2019-09-02 15:00:00,-850.0
1023745.2000000002,-0.0009421976552445033,1029679.7200000002,-3515.4799999999814,-0.342218880605844,2019-09-03 15:00:00,-965.48
1023745.2000000002,0.0,1029679.7200000002,-3515.4799999999814,-0.342218880605844,2019-09-04 15:00:00,0.0
1023745.2000000002,0.0,1029679.7200000002,-3515.4799999999814,-0.342218880605844,2019-09-05 15:00:00,0.0
1023745.2000000002,0.0,1029679.7200000002,-3515.4799999999814,-0.342218880605844,2019-09-06 15:00:00,0.0
1023745.2000000002,0.0,1029679.7200000002,-3515.4799999999814,-0.342218880605844,2019-09-09 15:00:00,0.0
1023745.2000000002,0.0,1029679.7200000002,-3515.4799999999814,-0.342218880605844,2019-09-10 15:00:00,0.0
1023745.2000000002,0.0,1029679.7200000002,-3515.4799999999814,-0.342218880605844,2019-09-11 15:00:00,0.0
1023745.2000000002,0.0,1029679.7200000002,-3515.4799999999814,-0.342218880605844,2019-09-16 15:00:00,0.0
1023745.2000000002,0.0,1029679.7200000002,-3515.4799999999814,-0.342218880605844,2019-09-17 15:00:00,0.0
1023745.2000000002,0.0,1029679.7200000002,-3515.4799999999814,-0.342218880605844,2019-09-18 15:00:00,0.0
1023745.2000000002,0.0,1029679.7200000002,-3515.4799999999814,-0.342218880605844,2019-09-19 15:00:00,0.0
1023745.2000000002,0.0,1029679.7200000002,-3515.4799999999814,-0.342218880605844,2019-09-20 15:00:00,0.0
1023679.7200000002,-6.396122785234937e-05,1029679.7200000002,-3580.9599999999627,-0.34859311465128423,2019-09-23 15:00:00,-65.48
1024029.7200000002,0.0003419038134309105,1029679.7200000002,-3230.9599999999627,-0.3145219186234172,2019-09-24 15:00:00,350.0
1025279.7200000002,0.0012206676970274444,1029679.7200000002,-1980.9599999999627,-0.1928390756667492,2019-09-25 15:00:00,1250.0
1028479.7200000002,0.0031210994790766833,1029679.7200000002,0.0,0.0,2019-09-26 15:00:00,3200.0
1029679.7200000002,0.0011667706972384728,1029679.7200000002,0.0,0.0,2019-09-27 15:00:00,1200.0
