rsiLength,trailingPercent,victoryPercent,totalReturn,maxDdPercent,totalTradeCount,sharpeRatio
5,0.4,0.1,79.042652,-158.17890090565731,129,1.57990411194786
5,0.4,0.2,-130.95770800000014,-219.70028974471649,129,-2.346498739930822
5,0.4,0.3,-20.957060000000062,-300.792442500419,129,2.213960734716399
5,0.4,0.4,-199.51878800000017,-222.36889047040162,123,0.8490028724250223
5,0.4,0.5,31.44054799999978,-128.08122101096757,119,2.1601402748523393
5,0.5,0.1,271.9251480000001,-111.38125734158768,117,4.886740177728272
5,0.5,0.2,201.9252679999998,-126.56761919193143,117,-1.8875024100490554
5,0.5,0.3,382.40677199999976,-148.29565703710577,115,-0.8628027272744371
5,0.5,0.4,288.3649679999996,-117.6531320610497,111,0.2982772383967124
5,0.5,0.5,564.324292,-105.12049608524671,107,2.8702300289748703
5,0.6,0.1,1074.3202119999999,-95.23620817329906,107,4.166291874933177
5,0.6,0.2,1294.3201160000006,-86.3134912569883,107,4.319356834004568
5,0.6,0.3,1304.3206679999998,-98.36120675522122,107,4.362017656841595
5,0.6,0.4,1254.7996279999998,-81.20137236757273,105,4.4548755255965125
5,0.6,0.5,1340.280088,-83.05208109976128,103,4.3463843357509075
5,0.7,0.1,1791.2400479999994,-95.39362137686514,99,4.495796155916408
5,0.7,0.2,1891.2394719999995,-95.12160376191096,99,4.452578807919283
5,0.7,0.3,1816.239676,-108.3480407481675,99,-2.4524611135478933
5,0.7,0.4,1571.7185280000003,-85.59064493350525,97,4.456628170701669
5,0.7,0.5,1402.6809359999997,-95.66237117790725,93,4.215631185629166
5,0.8,0.1,1197.2026599999997,-123.55206000332497,95,2.4001008361782725
5,0.8,0.2,1422.2022399999994,-105.09356173783588,95,3.4969899928673427
5,0.8,0.3,1422.202503999999,-120.43364161880739,95,-2.9598499625087165
5,0.8,0.4,1337.6812119999988,-93.42362422388256,93,4.281420967935212
5,0.8,0.5,1233.6436319999993,-104.35456705907539,89,3.385801754502628
5,0.9,0.1,665.084328,-215.90231811129956,83,-0.9354908960680797
5,0.9,0.2,765.083656,-189.8055451634924,83,-1.9630195385610745
5,0.9,0.3,900.0841239999996,-170.84929918839376,83,2.097201930374621
5,0.9,0.4,940.5628439999996,-128.4190631791989,81,2.5750806479087127
5,0.9,0.5,1086.0422719999997,-136.53272865616873,79,0.02092453456325048
