0,1,2,3,4,5,6
5,10,0.3,20.000814,-8.333354000000014,9,0.964577932955465
5,10,0.4,8.222834000000013,-12.333269999999995,7,0.41082163967125696
10,10,0.3,20.000814,-8.333354000000014,9,0.964577932955465
10,10,0.4,9.222828000000005,-12.333276000000001,7,0.4505391112081847
15,10,0.3,20.000814,-8.333354000000014,9,0.964577932955465
15,10,0.4,9.222828000000005,-12.333276000000001,7,0.4505391112081847
20,10,0.3,20.000814,-8.333354000000014,9,0.964577932955465
20,10,0.4,9.222828000000005,-12.333276000000001,7,0.4505391112081847
25,10,0.3,19.111739999999998,-8.333354000000014,8,0.9430120507671433
25,10,0.4,8.333754000000004,-12.333276000000001,6,0.42067174620414804
30,10,0.3,19.111739999999998,-8.333354000000014,8,0.9430120507671433
30,10,0.4,8.333754000000004,-12.333276000000001,6,0.42067174620414804
35,10,0.3,19.111739999999998,-8.333354000000014,8,0.9430120507671433
35,10,0.4,8.333754000000004,-12.333276000000001,6,0.42067174620414804
45,10,0.3,19.111739999999998,-8.333354000000014,8,0.9430120507671433
45,10,0.4,8.333754000000004,-12.333276000000001,6,0.42067174620414804
50,10,0.3,19.111739999999998,-8.333354000000014,8,0.9430120507671433
50,10,0.4,8.333754000000004,-12.333276000000001,6,0.42067174620414804
55,10,0.3,19.111739999999998,-8.333354000000014,8,0.9430120507671433
55,10,0.4,8.333754000000004,-12.333276000000001,6,0.42067174620414804
60,10,0.3,17.111751999999967,-8.333354000000014,8,0.8565376741684266
60,10,0.4,6.333765999999996,-12.333276000000001,6,0.34132265325340855
