0,1,2,3,4,5,6
14,5,0.3,-35.716824000000045,-50.634470116965325,196,-0.08035831267123564
14,5,0.4,-29.393202000000052,-38.98668005488158,166,-0.032626711686316784
14,5,0.5,-31.953387999999983,-53.74732574981573,144,-0.05215538255170803
14,5,0.6,-14.516730000000011,-49.902861451675776,122,0.046911089989743665
14,5,0.7,-38.52302600000005,-61.30916420811271,104,-0.07492832612698687
14,5,0.8,143.01894200000004,-23.640624659377334,54,0.4828361637205039
14,5,0.9,101.46065399999995,-23.034315972641075,50,0.3685577362492398
14,10,0.3,-38.62967600000008,-49.64809000000008,114,-0.15141765006609909
14,10,0.4,-27.96638800000004,-40.425848000000045,108,-0.0463007752136612
14,10,0.5,-0.07920200000002264,-30.539719214113497,100,0.06503153208582722
14,10,0.6,-0.9720540000000777,-33.80654782164561,90,0.06940428376934421
14,10,0.7,-13.528727999999957,-43.54558193912732,86,0.02906055720834755
14,10,0.8,141.68297399999994,-18.8360445708767,48,0.46245109466807927
14,10,0.9,80.90291200000004,-36.61913888131696,46,0.3120040461659116
14,15,0.3,6.800185999999964,-15.399861541183066,56,0.09266996757345018
14,15,0.4,-7.979335999999959,-21.394788028403635,54,-0.011803959712285133
14,15,0.5,-10.979318000000038,-29.292355161742513,54,-0.02279014190939956
14,15,0.6,-4.536586000000053,-32.044183122562465,50,0.024437366570874648
14,15,0.7,-13.536555999999978,-37.67850237394165,50,-0.01672070346578198
14,15,0.8,39.57074799999998,-36.25826533388714,40,0.22142795010282368
14,15,0.9,51.57078400000002,-32.042296676224346,40,0.2664686016260704
