portfolio,code,cost,num,agent
cash,cash01,721049.7394999997,0,pingan
original,profit,-95016.16250000003,0,pingan
5G,profit,-238.16750000001844,0,pingan
boll,profit,0.0,0,pingan
original,300408,17658.0,900,pingan
5G,300036,30225.27,2000,pingan
5G,300461,29150.6605,1300,pingan
