datetime,direction,offset,volume,price,pnl,atrValue,atrMa,rsiValue,iswave,intraTradeHigh,intraTradeLow,stop 
2019-10-16 00:35:00,空,开,1,4290.0,0,5.0,2.7857142857144157,26.97234683049676,False,4290.0,4288.0,0
2019-10-16 02:05:00,,平,-1,4293.0,-3.0,2.0,3.2142857142857792,76.54662293806807,False,4290.0,4280.0,4292.839999999999
2019-10-16 13:40:00,空,开,1,4297.0,0,4.0,2.571428571428766,24.47542052815051,False,4297.0,4296.0,4292.839999999999
