portfolio,code,cost,num,agent
cash,cash01,352687.6450000001,0,gtja
advance,profit,5869.701249999997,0,gtja
cash,cash01,569073.8455000003,0,pingan
original,profit,-93103.685,0,pingan
5G,profit,14791.040499999992,0,pingan
consumer,profit,3183.3634999999576,0,pingan
original,profit,78.0,0,cf
wireless,profit,-2984.536000000022,0,pingan
advance,519898,206231.305,205975,gtja
original,300408,44058.8755,1800,pingan
