code,num
300570,840
300308,120
002475,80
002859,330
002050,260
002792,680
002570,2350
300136,60
300433,370
300602,470
002273,180
300134,510
002384,240
002920,880
002796,1090
002341,250
300502,490
002463,2460
002812,260
002632,530
002454,1620
300408,280
300394,600
300036,310
002496,610
300253,90
002281,380
300322,670
