code,name,industry,area
002366,台海核电,专用机械,四川
002038,双鹭药业,生物制药,北京
002823,凯中精密,机械基件,深圳
002478,常宝股份,普钢,江苏
002848,高斯贝尔,通信设备,湖南
002604,龙力生物,食品,山东
002211,宏达新材,橡胶,江苏
002712,思美传媒,广告包装,浙江
002194,武汉凡谷,通信设备,湖北
002722,金轮股份,纺织机械,江苏
002101,广东鸿图,机械基件,广东
002821,凯莱英,生物制药,天津
002695,煌上煌,食品,江西
002796,世嘉科技,专用机械,江苏
002114,罗平锌电,铅锌,云南
002130,沃尔核材,电气设备,深圳
002778,高科石化,石油加工,江苏
002043,兔 宝 宝,其他建材,浙江
002220,天宝股份,食品,辽宁
002530,丰东股份,专用机械,江苏
002301,齐心集团,文教休闲,深圳
002514,宝馨科技,机械基件,江苏
002471,中超控股,电气设备,江苏
002209,达 意 隆,轻工机械,广东
002157,正邦科技,饲料,江西
002057,中钢天源,元器件,安徽
002599,盛通股份,广告包装,北京
002254,泰和新材,化纤,山东
002338,奥普光电,电器仪表,吉林
002409,雅克科技,化工原料,江苏
002588,史丹利,农药化肥,山东
002229,鸿博股份,广告包装,福建
002461,珠江啤酒,啤酒,广东
002161,远 望 谷,通信设备,深圳
002458,益生股份,农业综合,山东
002470,金正大,农药化肥,山东
002337,赛象科技,化工机械,天津
002144,宏达高科,纺织,浙江
002523,天桥起重,工程机械,湖南
002457,青龙管业,塑料,宁夏
002222,福晶科技,元器件,福建
002165,红 宝 丽,化工原料,江苏
002252,上海莱士,生物制药,上海
002315,焦点科技,互联网,江苏
002597,金禾实业,化工原料,安徽
002045,国光电器,元器件,广东
002326,永太科技,化工原料,浙江
002125,湘潭电化,化工原料,湖南
002767,先锋电子,电器仪表,浙江
002071,长城影视,影视音像,江苏
002557,洽洽食品,食品,安徽
002751,易尚展示,家居用品,深圳
002793,东音股份,专用机械,浙江
002645,华宏科技,专用机械,江苏
002441,众业达,批发业,广东
002404,嘉欣丝绸,纺织,浙江
002809,红墙股份,化工原料,广东
002119,康强电子,半导体,浙江
002620,瑞和股份,装修装饰,深圳
002110,三钢闽光,普钢,福建
002272,川润股份,机械基件,四川
002586,围海股份,建筑施工,浙江
002251,步 步 高,超市连锁,湖南
002752,昇兴股份,广告包装,福建
002378,章源钨业,小金属,江西
002467,二六三,电信运营,北京
002393,力生制药,化学制药,天津
002691,冀凯股份,专用机械,河北
002227,奥 特 迅,电气设备,深圳
002435,长江润发,机械基件,江苏
002223,鱼跃医疗,医疗保健,江苏
002293,罗莱生活,纺织,江苏
002550,千红制药,生物制药,江苏
002135,东南网架,建筑施工,浙江
002512,达华智能,元器件,广东
002666,德联集团,化工原料,广东
002320,海峡股份,水运,海南
002190,成飞集成,汽车配件,四川
002481,双塔食品,食品,山东
002397,梦洁股份,纺织,湖南
002452,长高集团,电气设备,湖南
002427,尤夫股份,化纤,浙江
002058,威 尔 泰,电器仪表,上海
002569,步森股份,服饰,浙江
002729,好利来,元器件,福建
002199,东晶电子,元器件,浙江
002633,申科股份,机械基件,浙江
002218,拓日新能,半导体,深圳
002172,澳洋科技,化纤,江苏
002518,科士达,电器仪表,深圳
002290,中科新材,家用电器,江苏
002770,科迪乳业,乳制品,河南
002716,金贵银业,小金属,湖南
002465,海格通信,通信设备,广东
002027,分众传媒,软件服务,广东
002063,远光软件,软件服务,广东
002579,中京电子,元器件,广东
002567,唐人神,饲料,湖南
002281,光迅科技,通信设备,湖北
002197,证通电子,电器仪表,深圳
002304,洋河股份,白酒,江苏
002771,真视通,软件服务,北京
002694,顾地科技,塑料,湖北
002759,天际股份,家用电器,广东
002415,海康威视,电器仪表,浙江
002839,张家港行,银行,江苏
002816,和科达,专用机械,深圳
002813,路畅科技,汽车配件,深圳
002812,创新股份,广告包装,云南
002803,吉宏股份,广告包装,福建
002787,华源控股,广告包装,江苏
002747,埃斯顿,机械基件,江苏
002745,木林森,半导体,广东
002741,光华科技,化工原料,广东
002740,爱迪尔,服饰,深圳
002735,王子新材,塑料,深圳
002724,海洋王,半导体,深圳
002717,岭南园林,建筑施工,广东
002699,美盛文化,服饰,浙江
002685,华东重机,工程机械,江苏
002681,奋达科技,家用电器,深圳
002675,东诚药业,化学制药,山东
002670,国盛金控,多元金融,广东
002664,信质电机,汽车配件,浙江
002655,共达电声,元器件,山东
002652,扬子新材,其他建材,江苏
002638,勤上股份,半导体,广东
002630,华西能源,专用机械,四川
002623,亚玛顿,玻璃,江苏
002608,*ST舜船,船舶,江苏
002606,大连电瓷,电气设备,辽宁
002600,江粉磁材,元器件,广东
002596,海南瑞泽,其他建材,海南
002578,闽发铝业,铝,福建
002576,通达动力,电气设备,江苏
002575,群兴玩具,文教休闲,广东
002547,春兴精工,通信设备,江苏
002541,鸿路钢构,钢加工,安徽
002540,亚太科技,铝,江苏
002513,*ST蓝丰,农药化肥,江苏
002510,天汽模,汽车配件,天津
002509,天广中茂,专用机械,福建
002505,大康农业,农业综合,湖南
002492,恒基达鑫,仓储物流,广东
002486,嘉麟杰,服饰,上海
002480,新筑股份,机械基件,四川
002468,申通快递,仓储物流,浙江
002464,金利科技,互联网,江苏
002443,金洲管道,钢加工,浙江
002437,誉衡药业,化学制药,黑龙江
002426,胜利精密,元器件,江苏
002418,康盛股份,机械基件,浙江
002417,三元达,通信设备,福建
002411,必康股份,化学制药,江苏
002400,省广股份,广告包装,广东
002386,天原集团,化工原料,四川
002379,*ST鲁丰,铝,山东
