code,name,industry,area
000761,本钢板材,钢加工,辽宁
000755,山西三维,化工原料,山西
000733,振华科技,元器件,贵州
000723,美锦能源,焦炭加工,山西
000720,新能泰山,火力发电,山东
000716,黑芝麻,食品,广西
000708,大冶特钢,特种钢,湖北
000697,炼石有色,小金属,陕西
000693,ST华泽,小金属,四川
000686,东北证券,证券,吉林
000682,东方电子,电气设备,山东
000673,当代东方,影视音像,山西
000671,阳 光 城,区域地产,福建
000630,铜陵有色,铜,安徽
000613,大东海A,旅游服务,海南
000612,焦作万方,铝,河南
000611,*ST天首,纺织,内蒙
000597,东北制药,化学制药,辽宁
000595,宝塔实业,机械基件,宁夏
000584,友利控股,化纤,江苏
000571,新大洲Ａ,煤炭开采,海南
000558,莱茵体育,文教休闲,浙江
000526,紫光学大,文教休闲,福建
000524,岭南控股,酒店餐饮,广东
000516,国际医学,百货,陕西
000429,粤高速Ａ,路桥,广东
000301,东方市场,综合类,江苏
000157,中联重科,工程机械,湖南
000153,丰原药业,化学制药,安徽
000042,中洲控股,全国地产,深圳
000034,神州数码,综合类,深圳
000032,深桑达Ａ,元器件,深圳
000029,深深房Ａ,区域地产,深圳
000010,美丽生态,建筑施工,深圳
000007,全新好,酒店餐饮,深圳
000666,经纬纺机,纺织机械,北京
000019,深深宝Ａ,软饮料,深圳
000911,南宁糖业,食品,广西
000409,山东地矿,综合类,山东
000726,鲁 泰Ａ,纺织,山东
000060,中金岭南,铅锌,深圳
000835,长城动漫,影视音像,四川
000950,*ST建峰,农药化肥,重庆
000797,中国武夷,全国地产,福建
000688,建新矿业,铅锌,重庆
000063,中兴通讯,通信设备,深圳
000777,中核科技,机械基件,江苏
000637,茂化实华,石油加工,广东
000638,万方发展,批发业,辽宁
000711,京蓝科技,软件服务,黑龙江
000681,视觉中国,互联网,江苏
000056,皇庭国际,房产服务,深圳
000652,泰达股份,批发业,天津
000886,海南高速,路桥,海南
000887,中鼎股份,橡胶,安徽
000001,平安银行,银行,深圳
000888,峨眉山Ａ,旅游景点,四川
000089,深圳机场,机场,深圳
000788,北大医药,化学制药,重庆
000667,美好置业,全国地产,云南
000100,TCL 集团,家用电器,广东
000657,中钨高新,小金属,海南
000027,深圳能源,火力发电,深圳
000727,华东科技,元器件,江苏
000166,申万宏源,证券,新疆
000677,恒天海龙,化纤,山东
000659,珠海中富,广告包装,广东
000683,远兴能源,化工原料,内蒙
000791,甘肃电投,水力发电,甘肃
000598,兴蓉环境,水务,四川
