{'dt': '20180109 23:13:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '平仓', 'price': 5781.0, 'volume': 1}
{'dt': '20180110 10:14:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '开仓', 'price': 5788.0, 'volume': 1}
{'dt': '20180110 11:02:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '平仓', 'price': 5786.0, 'volume': 1}
{'dt': '20180110 13:59:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '开仓', 'price': 5795.0, 'volume': 1}
{'dt': '20180110 14:00:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '平仓', 'price': 5790.0, 'volume': 1}
{'dt': '20180110 21:44:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '开仓', 'price': 5797.0, 'volume': 1}
{'dt': '20180110 22:31:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '平仓', 'price': 5798.0, 'volume': 1}
{'dt': '20180110 23:12:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '开仓', 'price': 5797.0, 'volume': 1}
{'dt': '20180111 09:04:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '平仓', 'price': 5798.0, 'volume': 1}
{'dt': '20180111 09:37:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '开仓', 'price': 5797.0, 'volume': 1}
{'dt': '20180111 10:07:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '平仓', 'price': 5799.0, 'volume': 1}
{'dt': '20180111 11:03:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '开仓', 'price': 5799.0, 'volume': 1}
{'dt': '20180111 11:04:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '平仓', 'price': 5796.0, 'volume': 1}
{'dt': '20180111 13:34:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '开仓', 'price': 5799.0, 'volume': 1}
{'dt': '20180111 13:41:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '平仓', 'price': 5795.0, 'volume': 1}
{'dt': '20180111 14:22:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '开仓', 'price': 5800.0, 'volume': 1}
{'dt': '20180111 21:04:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '平仓', 'price': 5793.0, 'volume': 1}
{'dt': '20180111 21:32:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '开仓', 'price': 5795.0, 'volume': 1}
{'dt': '20180111 21:36:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '平仓', 'price': 5791.0, 'volume': 1}
{'dt': '20180111 23:27:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '开仓', 'price': 5788.0, 'volume': 1}
{'dt': '20180111 23:28:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '平仓', 'price': 5791.0, 'volume': 1}
{'dt': '20180112 10:05:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '开仓', 'price': 5787.0, 'volume': 1}
{'dt': '20180112 10:38:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '平仓', 'price': 5791.0, 'volume': 1}
{'dt': '20180112 11:12:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '开仓', 'price': 5794.0, 'volume': 1}
{'dt': '20180112 11:15:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '平仓', 'price': 5792.0, 'volume': 1}
{'dt': '20180112 13:39:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '开仓', 'price': 5788.0, 'volume': 1}
{'dt': '20180112 13:46:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '平仓', 'price': 5792.0, 'volume': 1}
{'dt': '20180112 14:34:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '开仓', 'price': 5795.0, 'volume': 1}
{'dt': '20180112 14:42:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '平仓', 'price': 5792.0, 'volume': 1}
{'dt': '20180112 21:01:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '开仓', 'price': 5800.0, 'volume': 1}
{'dt': '20180112 21:02:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '平仓', 'price': 5792.0, 'volume': 1}
{'dt': '20180112 21:48:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '开仓', 'price': 5790.0, 'volume': 1}
{'dt': '20180112 22:07:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '平仓', 'price': 5796.0, 'volume': 1}
{'dt': '20180112 23:19:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '开仓', 'price': 5790.0, 'volume': 1}
{'dt': '20180112 23:27:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '平仓', 'price': 5789.0, 'volume': 1}
{'dt': '20180112 23:30:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '开仓', 'price': 5796.0, 'volume': 1}
{'dt': '20180115 09:01:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '平仓', 'price': 5764.0, 'volume': 1}
{'dt': '20180115 10:31:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '开仓', 'price': 5756.0, 'volume': 1}
{'dt': '20180115 11:07:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '平仓', 'price': 5756.0, 'volume': 1}
{'dt': '20180115 14:40:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '开仓', 'price': 5748.0, 'volume': 1}
{'dt': '20180115 14:48:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '平仓', 'price': 5751.0, 'volume': 1}
{'dt': '20180115 22:46:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '开仓', 'price': 5751.0, 'volume': 1}
{'dt': '20180115 22:53:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '平仓', 'price': 5753.0, 'volume': 1}
{'dt': '20180116 09:01:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '开仓', 'price': 5751.0, 'volume': 1}
{'dt': '20180116 09:02:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '平仓', 'price': 5751.0, 'volume': 1}
{'dt': '20180116 21:01:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '开仓', 'price': 5733.0, 'volume': 1}
{'dt': '20180116 21:13:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '平仓', 'price': 5737.0, 'volume': 1}
{'dt': '20180116 22:31:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '开仓', 'price': 5727.0, 'volume': 1}
{'dt': '20180116 22:49:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '平仓', 'price': 5722.0, 'volume': 1}
{'dt': '20180117 14:20:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '开仓', 'price': 5682.0, 'volume': 1}
{'dt': '20180117 14:32:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '平仓', 'price': 5678.0, 'volume': 1}
{'dt': '20180117 23:12:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '开仓', 'price': 5670.0, 'volume': 1}
{'dt': '20180117 23:15:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '平仓', 'price': 5670.0, 'volume': 1}
{'dt': '20180118 13:49:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '开仓', 'price': 5665.0, 'volume': 1}
{'dt': '20180118 14:09:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '平仓', 'price': 5661.0, 'volume': 1}
{'dt': '20180118 22:33:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '开仓', 'price': 5612.0, 'volume': 1}
{'dt': '20180118 22:47:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '平仓', 'price': 5606.0, 'volume': 1}
{'dt': '20180118 23:30:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '开仓', 'price': 5606.0, 'volume': 1}
{'dt': '20180119 13:40:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '平仓', 'price': 5520.0, 'volume': 1}
{'dt': '20180119 21:51:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '开仓', 'price': 5565.0, 'volume': 1}
{'dt': '20180119 22:46:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '平仓', 'price': 5554.0, 'volume': 1}
{'dt': '20180122 11:09:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '开仓', 'price': 5563.0, 'volume': 1}
{'dt': '20180122 14:01:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '平仓', 'price': 5573.0, 'volume': 1}
{'dt': '20180122 23:06:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '开仓', 'price': 5585.0, 'volume': 1}
{'dt': '20180122 23:15:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '平仓', 'price': 5581.0, 'volume': 1}
{'dt': '20180123 10:06:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '开仓', 'price': 5560.0, 'volume': 1}
{'dt': '20180123 10:13:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '平仓', 'price': 5566.0, 'volume': 1}
{'dt': '20180123 13:53:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '开仓', 'price': 5568.0, 'volume': 1}
{'dt': '20180123 14:09:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '平仓', 'price': 5563.0, 'volume': 1}
{'dt': '20180123 21:01:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '开仓', 'price': 5577.0, 'volume': 1}
{'dt': '20180123 21:02:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '平仓', 'price': 5577.0, 'volume': 1}
{'dt': '20180124 09:02:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '开仓', 'price': 5587.0, 'volume': 1}
{'dt': '20180124 10:13:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '平仓', 'price': 5609.0, 'volume': 1}
{'dt': '20180124 23:06:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '开仓', 'price': 5602.0, 'volume': 1}
{'dt': '20180124 23:09:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '平仓', 'price': 5599.0, 'volume': 1}
{'dt': '20180125 09:02:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '开仓', 'price': 5595.0, 'volume': 1}
{'dt': '20180125 09:03:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '平仓', 'price': 5602.0, 'volume': 1}
{'dt': '20180125 13:31:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '开仓', 'price': 5600.0, 'volume': 1}
{'dt': '20180125 13:42:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '平仓', 'price': 5600.0, 'volume': 1}
{'dt': '20180125 21:01:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '开仓', 'price': 5609.0, 'volume': 1}
{'dt': '20180125 21:14:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '平仓', 'price': 5600.0, 'volume': 1}
{'dt': '20180126 09:02:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '开仓', 'price': 5596.0, 'volume': 1}
{'dt': '20180126 09:09:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '平仓', 'price': 5597.0, 'volume': 1}
{'dt': '20180126 11:26:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '开仓', 'price': 5599.0, 'volume': 1}
{'dt': '20180126 11:28:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '平仓', 'price': 5597.0, 'volume': 1}
{'dt': '20180126 22:26:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '开仓', 'price': 5596.0, 'volume': 1}
{'dt': '20180126 22:51:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '平仓', 'price': 5598.0, 'volume': 1}
{'dt': '20180126 23:28:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '开仓', 'price': 5600.0, 'volume': 1}
{'dt': '20180129 09:03:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '平仓', 'price': 5601.0, 'volume': 1}
{'dt': '20180129 10:06:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '开仓', 'price': 5560.0, 'volume': 1}
{'dt': '20180129 10:12:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '平仓', 'price': 5570.0, 'volume': 1}
{'dt': '20180129 11:20:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '开仓', 'price': 5581.0, 'volume': 1}
{'dt': '20180129 14:26:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '平仓', 'price': 5582.0, 'volume': 1}
{'dt': '20180129 21:02:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '开仓', 'price': 5594.0, 'volume': 1}
{'dt': '20180129 21:25:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '平仓', 'price': 5598.0, 'volume': 1}
{'dt': '20180129 23:11:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '开仓', 'price': 5598.0, 'volume': 1}
{'dt': '20180129 23:29:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '平仓', 'price': 5599.0, 'volume': 1}
{'dt': '20180130 09:01:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '开仓', 'price': 5603.0, 'volume': 1}
{'dt': '20180130 09:11:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '平仓', 'price': 5605.0, 'volume': 1}
{'dt': '20180130 10:08:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '开仓', 'price': 5606.0, 'volume': 1}
{'dt': '20180130 10:14:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '平仓', 'price': 5603.0, 'volume': 1}
{'dt': '20180130 13:57:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '开仓', 'price': 5603.0, 'volume': 1}
{'dt': '20180130 14:23:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '平仓', 'price': 5600.0, 'volume': 1}
{'dt': '20180130 21:14:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '开仓', 'price': 5608.0, 'volume': 1}
{'dt': '20180130 21:34:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '平仓', 'price': 5617.0, 'volume': 1}
{'dt': '20180130 22:34:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '开仓', 'price': 5631.0, 'volume': 1}
{'dt': '20180130 22:38:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '平仓', 'price': 5624.0, 'volume': 1}
{'dt': '20180131 22:34:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '开仓', 'price': 5631.0, 'volume': 1}
{'dt': '20180131 22:43:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '平仓', 'price': 5628.0, 'volume': 1}
{'dt': '20180131 23:30:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '开仓', 'price': 5627.0, 'volume': 1}
{'dt': '20180201 09:04:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '平仓', 'price': 5614.0, 'volume': 1}
{'dt': '20180201 23:07:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '开仓', 'price': 5655.0, 'volume': 1}
{'dt': '20180201 23:08:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '平仓', 'price': 5651.0, 'volume': 1}
{'dt': '20180201 23:29:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '开仓', 'price': 5656.0, 'volume': 1}
{'dt': '20180202 09:05:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '平仓', 'price': 5656.0, 'volume': 1}
{'dt': '20180202 22:58:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '开仓', 'price': 5646.0, 'volume': 1}
{'dt': '20180202 22:59:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '平仓', 'price': 5648.0, 'volume': 1}
{'dt': '20180202 23:01:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '开仓', 'price': 5651.0, 'volume': 1}
{'dt': '20180202 23:03:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '平仓', 'price': 5648.0, 'volume': 1}
{'dt': '20180205 09:26:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '开仓', 'price': 5659.0, 'volume': 1}
{'dt': '20180205 09:45:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '平仓', 'price': 5646.0, 'volume': 1}
{'dt': '20180205 11:15:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '开仓', 'price': 5647.0, 'volume': 1}
{'dt': '20180205 13:39:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '平仓', 'price': 5649.0, 'volume': 1}
{'dt': '20180205 14:33:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '开仓', 'price': 5650.0, 'volume': 1}
{'dt': '20180205 14:54:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '平仓', 'price': 5650.0, 'volume': 1}
{'dt': '20180205 21:44:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '开仓', 'price': 5646.0, 'volume': 1}
